frac,method,acc_med,f1_med,bce_med,acc_pol_pre,bce_pol_pre,acc_pol_after,f1_pol_after,bce_pol_after,forget_acc,forget_bce,avg_acc_after,trainable_params,t_pretrain,t_fisher,t_finetune,t_total_once
0.5,OURS-noEWC (unfreeze conv),0.9753661784287616,0.9752176825184194,0.08497966825962067,0.9994332672145083,0.0007204597350209951,0.9436100878435818,0.95774049692079,0.14137309789657593,0.05582317937092651,0.14065263816155493,0.9594881331361718,98789,81.62985801696777,0.0,15.970151901245117,97.60000991821289
0.5,OURS=Adapter+EWC (unfreeze conv + EWC),0.9747003994673769,0.974496644295302,0.08477629721164703,0.9994332672145083,0.0007204597350209951,0.9458770189855483,0.9593703467347372,0.12512968480587006,0.05355624822895999,0.12440922507084906,0.9602887092264626,98789,81.62985801696777,3.0433349609375,15.884027004241943,100.55721998214722
0.5,Med-Scratch (TOK_ALL),0.9980026631158455,0.998022412656559,0.030120739713311195,,,,,,,,,565429,0.0,0.0,14.471220016479492,14.471220016479492
0.5,Replay Upper (Joint Plain: POL_train + MED_sub),0.9986684420772304,0.9986807387862797,0.011386067606508732,,,0.9997166336072542,0.9997783196630459,0.0015777710359543562,,,,565429,0.0,0.0,73.89854216575623,73.89854216575623
1.0,Transfer-Plain (Full FT),0.9980026631158455,0.9980250164581962,0.016414131969213486,1.0,0.002221943810582161,0.916406914139983,0.9386056191467221,0.3917602002620697,0.08359308586001701,0.38953825645148754,0.9572047886279142,565429,63.4820282459259,0.0,27.28870129585266,90.77072954177856
1.0,Transfer-Plain+EWC (Full FT),0.9980026631158455,0.9980250164581962,0.02419346198439598,1.0,0.002221943810582161,0.977897421365826,0.9829991281604186,0.0915948823094368,0.022102578634173975,0.08937293849885464,0.9879500422408358,565429,63.4820282459259,2.326535701751709,27.123283863067627,92.93184781074524
1.0,Adapter-PEFT (freeze emb+conv),0.96271637816245,0.9629139072847682,0.11618837714195251,0.9994332672145083,0.0007204597350209951,0.6585434967412865,0.7891513560804899,4.150952339172363,0.3408897704732218,4.150231879437342,0.8106299374518683,34661,81.62985801696777,0.0,16.219337940216064,97.84919595718384
1.0,OURS-noEWC (unfreeze conv),0.9840213049267643,0.9842105263157894,0.04432966187596321,0.9994332672145083,0.0007204597350209951,0.8203457069991499,0.8767496111975116,0.5764598846435547,0.17908756021535843,0.5757394249085337,0.902183505962957,98789,81.62985801696777,0.0,29.462476015090942,111.09233403205872
1.0,OURS=Adapter+EWC (unfreeze conv + EWC),0.9853528628495339,0.9855453350854139,0.04577283561229706,0.9994332672145083,0.0007204597350209951,0.8234627373193539,0.8786284823689849,0.5126034021377563,0.17597052989515438,0.5118829424027354,0.904407800084444,98789,81.62985801696777,3.0433349609375,29.538795948028564,114.21198892593384
1.0,Med-Scratch (TOK_ALL),0.9986684420772304,0.9986807387862797,0.01657697930932045,,,,,,,,,565429,0.0,0.0,27.46132779121399,27.46132779121399
1.0,Replay Upper (Joint Plain: POL_train + MED_sub),0.9993342210386151,0.999340804218853,0.0059412200935184956,,,1.0,1.0,0.0003728980664163828,,,,565429,0.0,0.0,86.80053091049194,86.80053091049194
